repo_id,full_name,track,unit,n_prs_found,total_count,is_undersampled,status,error
696529789.0,dotnet/aspire,B1,2023-06-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2023-06-01..2023-06-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2023-07-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2023-07-01..2023-07-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2023-08-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2023-08-01..2023-08-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2023-09-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2023-09-01..2023-09-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2023-10-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2023-10-01..2023-10-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2023-11-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2023-11-01..2023-11-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2023-12-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2023-12-01..2023-12-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2024-01-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2024-01-01..2024-01-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2024-02-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2024-02-01..2024-02-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2024-03-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2024-03-01..2024-03-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2024-04-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2024-04-01..2024-04-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2024-05-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2024-05-01..2024-05-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2024-06-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2024-06-01..2024-06-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2024-07-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2024-07-01..2024-07-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2024-08-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2024-08-01..2024-08-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2024-09-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2024-09-01..2024-09-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2024-10-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2024-10-01..2024-10-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2024-11-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2024-11-01..2024-11-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2024-12-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2024-12-01..2024-12-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2025-01-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2025-01-01..2025-01-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2025-02-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2025-02-01..2025-02-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2025-03-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2025-03-01..2025-03-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2025-04-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2025-04-01..2025-04-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2025-05-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2025-05-01..2025-05-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2025-06-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2025-06-01..2025-06-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2025-07-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2025-07-01..2025-07-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2025-08-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2025-08-01..2025-08-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2025-09-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2025-09-01..2025-09-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2025-10-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2025-10-01..2025-10-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2025-11-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2025-11-01..2025-11-02&sort=created&order=asc&per_page=10
